run_id,sample_id,forward,reverse
AN00009242,202306510,/n/groups/kwon/joseph/projects/download/AN00009242/202306510/202306510_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306510/202306510_2.fastq.gz
AN00009242,202306517,/n/groups/kwon/joseph/projects/download/AN00009242/202306517/202306517_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306517/202306517_2.fastq.gz
AN00009242,202306532,/n/groups/kwon/joseph/projects/download/AN00009242/202306532/202306532_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306532/202306532_2.fastq.gz
AN00009242,202306553,/n/groups/kwon/joseph/projects/download/AN00009242/202306553/202306553_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306553/202306553_2.fastq.gz
AN00009242,202306563,/n/groups/kwon/joseph/projects/download/AN00009242/202306563/202306563_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306563/202306563_2.fastq.gz
AN00009242,202306576,/n/groups/kwon/joseph/projects/download/AN00009242/202306576/202306576_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306576/202306576_2.fastq.gz
AN00009242,202306614,/n/groups/kwon/joseph/projects/download/AN00009242/202306614/202306614_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306614/202306614_2.fastq.gz
AN00009242,202306623,/n/groups/kwon/joseph/projects/download/AN00009242/202306623/202306623_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306623/202306623_2.fastq.gz
AN00009242,202306705,/n/groups/kwon/joseph/projects/download/AN00009242/202306705/202306705_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306705/202306705_2.fastq.gz
AN00009242,202306737,/n/groups/kwon/joseph/projects/download/AN00009242/202306737/202306737_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306737/202306737_2.fastq.gz
