sample	strain	community
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	54	1.8200409e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	55	9.1739877e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	58	1.4113791e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	59	1.4771757e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	60	2.2231954e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	62	2.180981e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	63	7.388482e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	64	1.4329573e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	65	1.4955093e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	69	2.337197e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	71	7.0637063e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	72	1.230555e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	73	2.8113312e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	76	1.4702217e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	77	2.0833701e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	79	6.410256e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	80	1.0452771e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306374__gtpro__crisp.tsv.temp	82	1.4332853e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	-1	7.736265e-05
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	0	7.874783e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	1	9.552419e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	2	1.473885e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	4	3.812123e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	5	0.99992245
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	6	3.0088287e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	8	3.7842054e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	10	4.0800874e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	11	2.603027e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	14	4.5955755e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	15	3.7143306e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	16	2.4785622e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	17	2.4831808e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	19	3.6597982e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	22	3.576727e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	23	3.6634682e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	25	2.4209093e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	27	3.8193253e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	29	1.5273129e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	33	3.3713654e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	34	3.2988052e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	39	2.931093e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	43	1.3863125e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	45	1.8021721e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	46	5.7262515e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	47	1.1752891e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	49	2.9230889e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	51	3.941966e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	52	4.0086414e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	53	3.4974958e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	54	3.1513974e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	55	1.5039137e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	58	3.8077506e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	59	2.7932325e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	60	4.112733e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	62	4.314302e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	63	1.0387458e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	64	3.5412968e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	65	4.2228048e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	69	3.5988668e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	71	9.520633e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	72	2.0350535e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	73	4.0977173e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	76	3.4648528e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	77	3.4922862e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	79	8.4715907e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	80	1.6201941e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306378__gtpro__crisp.tsv.temp	82	3.4914118e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	-1	3.2866888e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	0	2.043928e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	1	2.499565e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	2	4.0817676e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	4	1.010766e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	5	0.999991
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	6	9.922956e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	8	9.8937775e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	10	1.4416158e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	11	7.154551e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	14	1.319355e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	15	1.05915994e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	16	7.7021625e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	17	6.688438e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	19	1.2200586e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	22	1.0423322e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	23	9.854119e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	25	6.67772e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	27	8.6049894e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	29	5.0131984e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	33	9.7209835e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	34	8.804083e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	39	8.9181405e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	43	4.185289e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	45	5.2685944e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	46	1.9545095e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	47	4.535075e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	49	8.725518e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	51	1.0440524e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	52	1.0818904e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	53	7.094035e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	54	9.977296e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	55	4.9354128e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	58	9.988813e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	59	8.0679904e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	60	1.2542162e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	62	1.173646e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	63	3.5929745e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	64	9.6229655e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	65	9.654705e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	69	1.1491152e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	71	3.581516e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	72	6.226929e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	73	1.2318759e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	76	9.685364e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	77	9.9679646e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	79	3.0614476e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	80	5.2787374e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306389__gtpro__crisp.tsv.temp	82	1.10761405e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	-1	2.2352866e-05
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	0	1.0087895e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	1	1.2963152e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	2	1.9191187e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	4	4.8329653e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	5	0.99997747
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	6	2.1874542e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	8	4.5619304e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	10	2.611536e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	11	2.005561e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	14	3.022854e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	15	4.7017337e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	16	1.7437657e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	17	2.6691072e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	19	2.766531e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	22	2.4563298e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	23	3.5587864e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	25	1.5862287e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	27	4.520673e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	29	1.1083017e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	33	4.8383644e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	34	3.9256203e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	39	2.2197026e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	43	7.98024e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	45	1.3839814e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	46	3.399746e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	47	7.2257683e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	49	2.2396096e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	51	2.8972689e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	52	3.9640695e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	53	2.4611877e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	54	2.4093765e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	55	9.76374e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	58	4.3747703e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	59	2.1344355e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	60	2.7569367e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	62	2.6892117e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	63	6.2571204e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	64	4.2698423e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	65	6.885056e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	69	2.645512e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	71	5.3187044e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	72	1.6061752e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	73	3.3926844e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	76	4.177062e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	77	2.4267828e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	79	4.909706e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	80	1.183281e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306395__gtpro__crisp.tsv.temp	82	4.588031e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	-1	0.00016074251
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	0	5.9426073e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	1	7.1210042e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	2	1.1271412e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	4	2.8042566e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	5	0.9998391
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	6	2.4809383e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	8	2.8299505e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	10	3.34937e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	11	2.2687456e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	14	3.5585894e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	15	3.2781542e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	16	2.2475792e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	17	1.9601167e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	19	2.7890803e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	22	2.8177338e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	23	2.9233949e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	25	1.7159361e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	27	3.112822e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	29	1.2695432e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	33	2.7729972e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	34	2.4033888e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	39	2.488436e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	43	1.0237661e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	45	1.6450274e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	46	4.5285677e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	47	9.2454194e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	49	2.389082e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	51	3.2174352e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	52	3.0593375e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	53	2.331728e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	54	2.6458356e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	55	1.1420245e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	58	2.7193807e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	59	2.1986672e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	60	3.3133067e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	62	3.248216e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	63	8.359154e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	64	2.6021543e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	65	3.7528722e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	69	3.1784155e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	71	7.390515e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	72	1.837538e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	73	3.933733e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	76	2.9206637e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	77	2.9264686e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	79	6.6930206e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	80	1.4170286e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306422__gtpro__crisp.tsv.temp	82	3.0460476e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	-1	3.1264048e-05
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	0	2.2713173e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	1	0.00063271285
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	2	4.402928e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	4	1.0833838e-05
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	5	0.9992844
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	6	9.07188e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	8	1.0943494e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	10	1.1494755e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	11	6.8047086e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	14	1.0733838e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	15	1.2709593e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	16	7.1985124e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	17	5.6078875e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	19	9.729732e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202306430__gtpro__crisp.tsv.temp	22	7.9136555e-07
