sample	strain	community
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	29	3.3978398e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	33	6.381232e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	34	5.978711e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	39	6.64427e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	43	3.0695508e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	45	3.797592e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	46	1.2254661e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	47	2.9140899e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	49	6.3889094e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	51	7.830604e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	52	6.9315433e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	53	5.39813e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	54	7.3294526e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	55	3.406386e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	58	6.4581864e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	59	5.9343956e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	60	8.658274e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	62	8.096556e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	63	2.5109688e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	64	6.4072965e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	65	7.427811e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	69	8.289115e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	71	2.4070739e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	72	4.421074e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	73	8.962156e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	76	6.236503e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	77	7.2134054e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	79	2.1393323e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	80	3.732778e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	82	6.380815e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	-1	8.722107e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	0	4.941325e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	1	5.5434685e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	2	1.0171071e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	4	2.5152349e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	5	8.042687e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	6	2.124846e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	8	2.5891129e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	10	2.6774833e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	11	2.3690023e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	14	2.4600877e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	15	2.4659442e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	16	2.7610383e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	17	1.731214e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	19	2.137331e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	22	2.400761e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	23	2.5932914e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	25	2.0022543e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	27	2.3553964e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	29	0.03207988
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302555__gtpro__crisp.tsv.temp	33	2.5434463e-07
